icao24,r,t
4849a0,PH-ACX,DV20
a9abc4,N722JB,F2TH
a1e105,N220AD,SR22
ae055e,85-0001,C5
401a2a,G-BARC,C172
44d06e,OO-TCN,A320
475002,HA-TAB,SF34
47800a,LN-BRG,F900
a8fb03,N678SC,GLF5
a6aab4,N529DM,CL60
4b1931,HB-JOB,FA7X
8005b9,VT-BRS,GLF5
ace4e0,N93S,C750
ad6f50,N965GA,GLF5
748010,OD-BOY,H25B
406379,G-RMMA,F900
acdde0,N928WK,FA50
43c276,ZJ225,H64
402b1f,G-BONR,C172
4ca857,EI-EMO,B738
4b1849,HB-JFD,C750
3e1f4d,D-IDAZ,C525
405c03,G-ECOE,DH8D
4844ae,P4-GAZ,CRJ1
ae2fa9,Aug-97,C17
a12fb4,N176CL,F900
ae0410,163918,E6
40468b,G-CBHY,ULAC
3985a0,F-HBNA,A320
3c5696,D-AETV,CL60
342255,EC-JFO,PC12
401381,G-SERE,DA42
508130,UR-CFB,AN12
511085,ES-ABO,B735
503cab,LY-STG,B737
3423cd,EC-JQV,MD83
4ca82d,EI-SLM,AT72
401bda,G-JDBC,PA34
4ca859,EI-EMR,B738
400bbc,G-BBHI,C177
896074,A6-EAQ,A332
4248d9,VQ-BMS,B74S
406071,G-OGJC,R44
4011ee,G-MDJE,C208
40110e,G-JOYT,P28A
a3f13a,N353PC,CL30
398a4b,F-HCSL,H25B
400f9d,G-GTJM,EC20
400a18,G-SSXX,EC35
43c47b,ZK011,HAWK
400b60,G-BCKT,SUBA
4056cb,G-GRZZ,R44
43c563,ZK032,HAWK
43c564,ZK033,HAWK
a7c588,N60GM,C421
4e+95,G-BYWP,G115
4c1c93,YU-HET,GAZL
4060d3,G-CGKD,G115
402d68,G-BPCI,C172
4034a3,G-BTRT,P28R
3f9946,50+70,C160
405408,G-LGNL,SF34
43c00b,ZE164,TOR
405ff4,G-RWPL,EC55
3e1972,D-IAVI,BE9L
3d322a,D-ERGC,PA46
ae0169,86-0204,GLF3
ac2953,N883DP,C182
4ca858,EI-EMP,B738
a68371,N519FX,CL30
400720,G-LGND,SF34
20093,CN-RBS,H25B
0d01de,XA-FLY,LJ60
40600000,G-CGKV,G115
aae028,N80GP,FA50
400dde,G-LACI,C172
4051bc,G-CENE,FDCT
5.05e+66,OM-ASD,B733
a1dbeb,N219L,C25B
ae1f20,62-1811,C130
405d1b,G-RAPD,H500
405f23,G-MOLO,PC12
400d17,G-BXRH,C185
43c137,XV249,NIM
484844,PH-1186,SF25
401256,G-BGVZ,P28A
a8b3cc,N66VS,P210
406159,G-CGCN,MCR1
3d15cb,D-EGMT,C182
401d09,G-BFKB,C172
a72e8d,N562CC,TBM8
40515e,G-CLEG,FDCT
403ebf,G-TYNE,TRIN
a19040,N20G,CL60
4bcce2,TC-SGB,A310
471f4b,HA-LWD,A320
424049,VP-BTN,A319
a45b5a,N380AR,C25A
a2c629,N278WA,MD11
3986000000000,F-HBXJ,E170
ae0561,85-0004,C5
0d0201,XA-MKI,GLF5
43c00d,ZE168,TOR
3c496b,D-ABKK,B738
4007dd,G-LGNA,SF34
a6a382,N527FX,CL30
4a0826,YR-BAF,B733
406310,G-WABB,F900
a49fd2,N3975A,CL30
462f92,OH-SAK,RJ85
a25328,N249TS,DA42
a7d7b4,N604SJ,CL60
a31af9,N3DP,GLF3
3c6481,D-AIDA,A320
3c171b,D-AXTM,GLEX
3935000,F-GNPD,BE20
a36dac,N32TM,GALX
adf5f7,N999VK,CL60
403e3a,G-ODOC,R44
501001,ZA-MAL,B462
392d6e,F-GLLO,SW3
8960ec,A6-EDK,A388
a206ae,N23FK,EA50
ac9aa5,N911CS,BE65
a6ffb2,N550CW,CL60
a18dd3,N2FE,CL60
8a0231,PK-AXL,A320
43c1fa,ZJ134,EH10
3c496c,D-ABKL,B738
3c6748,D-AIZH,A320
a31fa4,N300DG,CL30
7c497e,VH-OSW,GLF4
7c4778,VH-OEI,B744
503c8c,LY-ETM,AT43
ae0976,165833,B737
392df3,F-GLPT,SW3
0d035f,XA-ASI,GLF4
a674dc,N515JT,E135
a979d1,N71BD,GLF4
a9810e,N711PE,F2TH
a2353e,N241RS,BE36
484419,PH-MSE,M20P
a63abc,N500JD,FA50
48d847,18,C295
a4ebd9,N416QS,GLF4
ac1d83,N88WU,GALX
add818,N991TW,CL60
401190,G-CBLJ,YK52
40635e,G-MEGP,CL30
a8f343,N676NW,B744
aa59ae,N766VA,B762
ae01b4,84-0111,LJ35
c02fc5,C-FSCI,CL60
0d056f,XA-DAK,H25B
a399d4,N331DC,F2TH
44a210,OO-HPP,EC20
4054b7,G-NIKX,R44
43e81d,M-ASRY,C25B
a63acd,N500JW,GLF2
4b40b1,HB-YMZ,RV4
a0bd68,N147HH,CL60
0d0582,XA-PIL,GLEX
a92960,N69LJ,LJ60
a3211d,N300UJ,GLF3
3425d8,EC-KEC,A320
78023e,B-KPR,B77W
710228,HZ-A8,H25B
4ca88a,EI-EZS,A320
40084d,G-LOFE,L188
a8c4e8,N664US,B744
4aaccd,SE-KFM,P28A
3415c9,EC-IEJ,A320
4241ad,VP-CET,GLF4
405d2a,G-OLCT,SR22
4011b9,G-BFTT,C421
a5a5d4,N463MA,GLF4
45ca86,OY-RTF,AT72
404a64,G-GBUN,C182
3d1259,D-EFEV,C172
3d1fea,D-EKIK,P28A
a1bb6e,N210VS,C56X
a8fa84,N678MA,FA50
4ca306,EI-DOH,B733
461754,OH-IVS,LJ60
4bcd72,TC-SKR,B738
a35965,N315AA,B762
45ac4d,OY-KBM,A343
ac6f92,N900EB,C680
4404dc,OE-GVE,LJ60
a80305,N615TL,CL60
8962b2,A6-AUJ,H25B
70c00a,A4O-AC,GLF4
a40bb1,N36TW,PA31
44008f,OE-GCB,C560
43e83b,M-OOSE,P46T
c2af63,130334,C130
742827,JY-JAG,B762
ac4332,N89CE,F2TH
405aad,G-RAJJ,B462
a3f31c,N3536,
4b0f5e,HB-FVI,PC12
a29f56,N2682C,C182
7380aa,4X-EAS,B763
3cf69d,D-CURT,LJ31
a21489,N233KC,F900
393a41,F-GOSB,BE30
43e764,M-FZMH,CRJ2
44f427,CH-07,C130
394975,F-GSLV,TBM7
ae293b,Jul-14,C30J
ae05e0,87-9283,C130
43e84e,M-AKVI,CL30
a19219,N200AX,GALX
4.05e+98,G-IIHI,E300
a5f03d,N482CD,SR22
7801dd,B-HUR,B744
aaf1dd,N804MS,B763
460842,OH-DDI,C750
a20035,N228RE,GLF4
10109,SU-GDA,B738
43e816,M-COOL,C510
a7fbdd,N613WF,GLEX
a63b6f,N500RH,GLF5
a636e7,N5T,C750
70c0ac,A4O-DF,A332
7501f9,9M-XXF,A333
7100ec,HZ-SPAH,FA7X
42499e,VQ-BHY,GLEX
4d02bf,LX-WAS,ATP
a36b95,N3197H,HA4T
4b19ee,HB-JVI,F100
394493,F-GRET,C510
4401f8,OE-GRS,H25B
491286,CS-DTF,F2TH
4063a1,G-SRZZ,SR22
3846da,F-WWZT,FA7X
3.92e+41,F-GLRZ,BE9L
343583,EC-LGG,E135
4b0ea6,HB-FOG,PC12
45f428,B-536,C30J
a31e09,N30LX,GLF3
a28b4b,N263MX,
43e81b,M-YRGN,E170
70c078,501,C130
ae023f,61-0304,K35R
34130d,EC-ELT,B462
ab76e5,N838JL,H25B
4b38ca,HB-VNE,
ae2fab,Aug-99,C17
4b1508,HB-HZC,PC21
4b1509,HB-HZD,PC21
a36d13,N32MJ,GLF3
4ca6ed,EI-UNX,B772
3c48ee,D-ABGN,A319
4b0edd,HB-FQJ,PC12
4.05e+94,G-SULI,DA40
40125e,G-ZANY,DA40
4ca85b,EI-EIA,A320
43c1f6,ZK453,BE20
3e350c,D-ILHC,C525
4b0ee9,HB-FQV,PC12
3d4289,D-EXLH,E400
30022d,I-PATS,S211
0d00b5,XA-MAR,FA7X
511033,ES-PVH,LJ31
89619b,A6-TBF,H25B
ae037e,63-8887,K35R
34130e,EC-FZE,B462
c07c7d,C-GVDS,BE30
7c4779,VH-OEJ,B744
3e1985,D-IAWB,PAY3
440082,OE-GPH,C560
33ffdb,CSX62127,G222
a636b9,N5RD,GLF4
a46e21,N385CT,CL60
4844b4,P4-SAT,CL60
a635e3,N5GQ,C25B
a05f21,N123CZ,C25B
48d84c,22,C295
a0d5b8,N153E,SR22
aa0ea1,N747XJ,C750
761052,4178,C130
33ff15,MM55072,M339
a62a20,N497AG,H25B
3985d2,F-HBOS,A310
117aed,RA-97005,SU95
4001b6,VP-BCY,LJ60
ae1274,73-1595,C130
44049a,OE-FMF,DA42
440398,OE-VFT,DA42
4b2fe2,HB-SDM,DA42
adf516,N999LK,BE9L
43c2a1,XW235,PUMA
33ffd6,MM62202,P180
4011d7,G-ORED,BN2T
ad0c5f,N94S,U21
40632a,G-YAAZ,GLF5
a6f975,N549BA,CL60
42416a,VP-CIF,CL60
86cf55,JA8085,B744
4bb466,TC-MCF,B734
50821d,UR-NTN,
a69700,N5234J,C206
aa5c3a,N767HB,H25B
a19224,N200BH,GALX
3818fa,F-WWEY,AT72
a40c6e,N360BJ,B737
34314b,EC-402,A400
4045bd,G-CBBA,DR40
a58a02,N456SM,C680
381b5a,F-WWLS,AT45
a3a96d,N335LS,
3d1217,D-EFCH,PA46
3facb6,89+54,S61
c04b0a,C-GCKV,DH8D
3.91e+97,F-GHUV,BE9L
a96fb1,N707MQ,B703
3da747,D-GJPF,PA34
4b1160,HB-GPC,BE58
3966a0,F-GZVA,F900
ada0a2,N9774Z,
a6df74,N542BA,CL60
4241b9,VP-CGM,F2TH
ac8b32,N907WS,CL60
3cce70,D-CFME,BE30
ae040a,165738,C30J
ac7794,N902L,GLF4
aa439e,N760XJ,C750
48406f,PH-LAB,C550
300469,I-AWRH,A139
a9973d,N717NC,PC12
3003bd,I-AIGP,B738
aa8355,N777DB,CL60
3951eb,F-GUPL,DA40
78000f,B-2445,B744
acdd84,N928ST,G150
503cc6,LY-SKA,B733
a6cff8,N538US,B752
aaaab6,N787BX,B788
a9a1b4,N72FD,C750
a1dfdb,N22NG,C750
157708,RA-96008,IL96
49d08e,OK-CCK,B737
38021a,F-WWKG,
4b0e8e,HB-FNI,
a02427,N108TT,COL4
4404db,OE-FAT,P06T
a7006b,N550LF,GLEX
a02bda,N11WM,F900
394534,F-GRJU,CRJ1
a95175,N7SJ,
4400c5,OE-EPC,PC12
3430ce,EC-KMT,H25B
4b8435,TC-AAU,B738
a7c7d6,N600GA,CL60
4ca85c,EI-EIB,A320
a35ae2,N315RG,GLF5
ad3152,N94924,GLF5
462f96,OH-SAO,RJ85
4b843a,TC-AAZ,B738
3b77ec,F-RAXR,TBM7
396426,F-GZBG,PA46
adfebf,96-0109,C560
a68945,N520DM,EGRT
424987,VQ-BHP,GLF5
39364d,F-GNSN,BE58
a90708,N681BA,DA40
480802,S-419,AS3B
a34770,N310GJ,GLF4
4b1a69,HB-KAB,TRIN
aa2e47,N755TB,M20T
33ffbf,MM62214,C27J
4b0ee7,HB-FQT,PC12
3cdb24,D-CKHG,C56X
a067de,N125SJ,GLF4
44c82d,OO-RAM,C510
392200000000,F-GIXI,B733
396400000,F-GZHF,B738
4d203f,9H-AFT,A318
a6d799,N54WT,PA46
a4b49e,N402FT,GLF4
3f9921,50+33,C160
a07f1e,N131CD,SR20
aba8ff,N850SY,TBM8
ad5376,N958MD,C340
46bc46,SX-OBF,DH8D
3cc71f,D-CCSD,C650
3e1be2,D-IBTI,C525
4b1860,HB-JGA,DH8D
a8cc56,N666US,B744
3e481a,D-ISMS,PAY4
a0141f,N104FT,CL30
43c5fe,ZJ238,B412
00c394,ZS-ZOT,HA4T
ad2170,N945TM,F900
aa1b20,N750MD,BE20
aa527a,N764XJ,C750
a7fdb4,N614BA,CL60
a912fa,N684KF,F2TH
4b43df,HB-ZSH,EC20
a95502,N700ER,TBM7
0d0368,XA-RYR,GLF4
3c7288,D-ALTH,A320
33ffd1,MM62207,P180
3430c2,EC-KME,A319
424901,VQ-BFX,B744
ae0486,62-3542,K35R
3d0553,D-EAGP,XA42
3c48f2,D-ABGR,A319
ae02cf,91-9143,C130
aa1ac0,N750HH,C750
a54957,N44M,C680
78061e,B-8108,GLF5
401b50,G-BCEN,BN2P
ae08e9,83-0498,BE20
402cdb,G-BPCX,P28B
343106,EC-KOI,C25A
e8023e,CC-CQE,A343
738545,4X-CPX,GLF4
aaa6e6,N786AX,B762
7c6b3f,VH-VGX,GLEX
478737,LN-BAC,C25A
8960b8,A6-EYB,A332
3d0fdd,D-EEGJ,P28A
4ab1b5,SE-LLU,BE30
a7b144,N595PE,GLF4
400ec0,G-HURI,HURI
a3bf1e,N340UP,B763
3c0e3d,D-AUKE,CL60
502c13,YL-RAB,AN26
76cd6b,9V-SKK,A388
3c60d3,D-AHFS,B738
505cb8,OM-AEX,B734
43c603,ZJ240,B412
4b8434,TC-AAT,B738
402310,G-SUZY,ULAC
43c392,PA474,LANC
7103eb,HZ-AFY,GLF4
393a44,F-GOSE,PA46
4840c6,P4-VVP,E135
4241b1,VP-CKR,GLEX
770583,4R-ALC,A332
392b0d,F-GKYN,
e400a9,FAB2404,B703
40631b,G-EZFW,A319
4bcd70,TC-SKP,B739
3949aa,F-GSNK,F900
4aa522,SE-IIB,BE9L
ad3caf,N952GD,F900
800584,VT-ALU,B77W
aad9aa,N799CD,SR22
401a7f,G-BATV,P28A
4b1793,HB-IYD,
a5627c,N446SE,P32R
3d00e0,D-CYOU,C680
a4bcaa,N404NA,GLEX
4843d4,PH-AMI,SR20
4b38f2,HB-VOS,PRM1
405167,G-ICDM,JAB4
403d28,G-PSST,HUNT
405d54,G-ECMK,PA18
a3e322,N35GZ,GLF3
341252,EC-GQG,MD83
02a2a8,TS-ING,A320
8005ae,VT-HMA,GLEX
38465a,F-WWZP,FA7X
4b8439,TC-AAY,B738
440440,OE-GMZ,C25B
770587,4R-ALG,A332
a553c6,N442TT,SR22
a0048a,N10YJ,H25B
aae4c6,N8004E,P28T
43c393,P7350,SPIT
343507,EC-LEY,MD83
401000000,G-SEMR,C206
ac8d37,N908DH,GLF4
8003a8,VT-HGL,F2TH
8960c5,A6-RJY,B737
aa588b,N766HK,FA50
300480,I-STCA,C510
300482,I-STCB,C510
3944c2,F-GRGC,E145
34355a,EC-LHL,B752
7801de,B-HUS,B744
4b0f5d,HB-FVH,PC12
a316f0,N299AG,M20P
484498,P4-CBA,GLEX
0d0087,XA-PRR,FA50
adfef2,161530,DC93
4.51e+96,LZ-MDD,A320
a68d38,N521FX,CL30
3fea8d,D-MOVE,ULAC
aa83f3,N777KK,GLF4
43e855,M-URKA,S76
a96f9f,N707LX,C750
398245,F-HASF,C25A
a82110,N6227Z,M20P
49d009,OK-SLA,C525
70c057,A4O-AA,A320
48d841,12,C295
a0cbb8,N150RT,G150
43e854,M-IVSP,GLF4
43c4c1,ZA682,H47
43c1ff,ZH875,C30J
e400a2,FAB2476,C130
a87a8f,N6453,F2TH
c059f7,C-GIBU,H25B
a610af,N490GA,
43e830,M-YNNS,FA7X
462f97,OH-SAP,RJ85
4.51e+30,LZ-CGP,B733
43c54e,ZK206,B212
4b0ee8,HB-FQU,PC12
706207,9K-CAF,A320
400f20,G-CEAU,R44
896101,A6-UAE,B744
341684,EC-INM,A320
39814f,F-HAKP,CL30
4403000000000,OE-GLF,G150
e485b2,PT-TME,A319
a7563e,N572EC,GLF4
4b18cb,HB-JKD,GALX
4b8433,TC-AAS,B738
400988,G-MAJF,JS41
4401ea,OE-GCI,C550
3c8481,D-BADA,J328
44a96d,OO-JKM,BE33
4a1024,YR-DAD,C510
400fb9,G-OCCE,DA40
40621e,G-RIZA,PRM1
480806,S-441,AS3B
aba8a4,N850PG,GLF3
01805c,5A-ONK,A320
80043f,VT-JSK,GL5T
400db5,G-ENHP,EN48
3c4586,D-AALF,B77L
43e785,M-OSPB,GALX
471f4c,HA-LWE,A320
a0a0ea,N14FX,F900
a02390,N108MS,B737
a40d9b,N360PK,C25A
aae044,N80HS,PA31
406245,G-JONT,SR22
a1e04f,N22SY,PA46
4a92b8,SE-DUX,CRJ2
4bcd66,TC-SKF,B734
a9cb2c,N730BH,E135
c02063,C-FMGW,CRJ2
706047,9K-GEA,A319
484c54,PH-EZP,E190
3c48e2,D-ABGB,A319
440c84,OE-LFP,F70
a00594,N100JZ,C25B
401100000000,G-PUSI,C303
0d0110,XA-AHM,GLF2
4013eb,G-AGTM,
4011d0,G-DMRA,R44
a33267,N305FE,DC10
a8c131,N663US,B744
a3049c,N294CV,H25B
40631c,G-EZFX,A319
4063ae,G-LALE,E135
710223,HZ-A2,A320
a292b4,N265MS,B744
40103b,G-OCDP,FDCT
400ad4,G-RVIX,RV9
7c610e,VH-TGG,GLEX
484534,PH-MLK,TRIN
abd424,N861SF,C182
a9f0bf,N74FS,F900
4404af,OE-ERM,PC12
451c32,LZ-FNB,C25A
40120e,G-LRGE,BALL
40635c,G-OXRS,GLEX
3c48ec,D-ABGL,A319
a1e50a,N221DG,GLF5
43c30c,ZH832,EH10
4b8450,TC-ABP,B738
43c30d,ZH833,EH10
a7cc86,N601S,CL60
ae047f,59-1509,K35R
3c6dd4,D-AKNT,A319
4b0eea,HB-FQW,PC12
a80dfd,N618RR,CL60
a95576,N700KG,LJ45
a09025,N1350J,AC11
a455d1,N379GA,
a03739,N1129E,C56X
780205,B-KPE,B77W
ad9dab,N977AE,C750
71000000000,HZ-SPAG,FA7X
3c6c34,D-AKAT,E135
aa4440,N76021,B772
ae065a,59-1486,K35R
4d03c4,LX-N90446,E3TF
841ee3,JA08KZ,B744
43e82a,M-EILA,PC12
a1ffac,N228KT,CL30
402011,G-BKBW,TOBA
7608d5,AP-BFU,B743
a45a2e,N38NS,C560
3d25cd,D-EMOJ,M20P
aa22b4,N752NS,H25B
4ac859,SE-RBY,C550
3dcc3a,D-GXPA,PA34
3432d7,EC-KXN,B744
3d190b,D-EHST,C210
402800000,G-BNKI,C152
a7e9b9,N609LS,F2TH
c2ae9b,130306,C130
40005a,VP-CFA,E135
342094,EC-INJ,C501
ae047a,58-0073,K35R
add0e1,N99GA,GLF4
ae01c5,64-14843,R135
50816e,UR-DNA,E145
895047,V8-BLD,B772
4b0eed,HB-FQZ,PC12
4404d9,OE-LGX,GLEX
484bfb,PH-DRL,BE36
43c52d,ZD277,LYNX
44b476,OO-MCV,E50P
40593f,G-CFDV,S76
4bac32,TC-KAR,CL30
ae0368,63-8013,K35R
a013dc,N104DA,GLEX
403281,G-BSTM,C172
4240fd,VP-BRJ,C25B
400d81,G-OPSS,SR20
43c4bd,ZA674,H47
a762f2,N575WB,CL30
459d6a,OY-GKJ,F2TH
a7d62e,N604AU,CL60
341506,EC-HRO,C550
c81b49,ZK-RGB,
0a4027,7T-WIV,IL76
3c4c4e,D-ACBN,A319
384880,F-BSEA,BE33
401284,G-RHHT,P32T
424930,VQ-BEB,GLEX
ab3aad,N8220M,BE36
468a87,SX-BTG,MD83
40361b,G-BUJN,C172
4.02e+51,G-BPWP,LGEZ
710040,HZ-AKN,B772
a95338,N70LJ,LJ35
a8230e,N623TC,
400fd5,G-CECX,R44
ac6eb8,N90VK,PA24
a26302,N253DV,GLF5
449a93,OO-FTS,C56X
a4c2f4,N406AJ,SR22
405c04,G-ECOF,DH8D
4d0226,LX-MBE,F2TH
404fbc,G-GTFC,ULAC
40623e,G-OMSA,FDCT
4b8470,TC-ACP,B738
4783f6,LN-AEY,PA31
aa6bc0,N77022,B772
ab326c,N820SA,B742
400b5a,G-MUVG,C421
abf3fc,N87,CL60
4ca87d,EI-EJH,A332
43c505,XZ605,LYNX
478014,LN-BRM,B735
424137,VP-CNK,CL60
0100dd,SU-GCO,B738
43c4dc,ZH891,H47
3e2c7a,D-IIAS,C421
ab4474,N825LM,GLF5
aae0e2,N80Q,F900
ae0502,59-1511,K35R
398186,F-HAMG,C25A
392262,F-GITC,B744
4b0ef0,HB-FRC,PC12
71022a,HZ-OFC6,FA7X
4b0eef,HB-FRB,PC12
49d04d,OK-TVG,B738
710018,HZ-AIY,B744
c04645,C-GAPW,DH8C
4ca87c,EI-EJG,A332
43c4ef,XZ191,LYNX
3cc011,D-CAAR,D228
508056,UR-74026,AN72
e47e8d,PT-MVG,A332
a54b34,N440GA,
342108,EC-JDL,A319
394a71,F-GSTR,A320
00aecf,ZS-RSG,C130
ade554,N995BE,HA4T
3c48f3,D-ABGS,A319
3d185a,D-EHLY,P28A
a041db,N1155P,C206
a8c0a7,N663PD,GLF4
700003,YA-PID,B734
890001,7O-YMN,B74S
400ac2,G-BALN,C310
06a0c6,A7-CEC,CL30
a33757,N306TT,GLF4
8005d6,VT-SGH,B738
aae2e6,N800LQ,H25B
0d0507,XA-SKY,GLF4
aae23d,N800DW,FA50
3c6461,D-AICA,A320
a66110,N51WF,AC90
3c6dd1,D-AKNQ,A319
51102b,ES-PVD,LJ31
4.51e+95,LZ-MDC,A320
ae0226,86-0027,DC10
c018b1,C-FJJC,CL60
e47e8e,PT-MVH,A332
34220f,EC-JHP,A333
a39dd0,N332FX,CL60
44bc61,OO-OCA,B350
4d02bc,LX-WAO,ATP
c00d1e,C-FEZD,DH8C
405836,G-KNCG,PA32
adb4ad,N982XP,H25B
a69c68,N525KF,GLF4
706206,9K-CAE,A320
a86b83,N6411X,BE20
10117,SU-BQC,A320
780010,B-2447,B744
343582,EC-LGL,B744
8960ed,A6-EDL,A388
154078,RA-82040,A124
4ba98a,TC-JLJ,A320
a983b7,N712CK,B741
4045f7,G-WINI,BDOG
4b1881,HB-JHH,A333
3422c3,EC-GSQ,B350
e47f78,PT-MVL,A332
a0b211,N144FH,F900
accd6c,N924EB,
401118,G-TCAL,R44
a7c2e4,N6DM,AS50
4b0eee,HB-FRA,PC12
40440d,G-PFSL,C152
abe275,N865LS,E135
43c29d,XW229,PUMA
0100df,SU-GCR,B738
4baa0e,TC-JPN,A320
ac3c32,N888GQ,GALX
4011cc,G-DHDV,DOVE
ab5648,N83CW,GLF5
ad2b61,N948FD,B752
e47e8c,PT-MVF,A332
a1020a,N164RJ,B737
8005f6,VT-WAM,A320
aaa32f,N785AX,B762
39a26c,F-HITM,BE40
3e253a,D-IFHI,BE9L
4062f6,G-JDRD,ULAC
c03084,C-FSJR,CL60
3c5466,D-AECF,E190
5.05e+44,OM-VRB,AT72
ae130c,166513,C30J
489c00,SP-HAA,B733
0100fc,SU-LBJ,A320
40621b,G-STBA,B77W
3cc222,D-CAVA,SW4
4b0097,HB-AFV,AT72
40631d,G-EZFY,A319
3d4c88,D-FBFS,
aa3fa6,N76EU,PRM1
a02fb0,N1108N,BE36
3c7073,D-ALCS,MD11
a12fb0,N176CG,F2TH
4bb461,TC-MCA,A306
44d031,OO-TAQ,B462
4d03c3,LX-N90445,E3TF
0a401e,7T-WHB,C130
3c4a45,D-ABRE,B734
44f421,CH-01,C130
4b1861,HB-JGB,GLF4
4baa0a,TC-JPJ,A320
adfe55,94-0326,BE20
a57285,N450EE,GLF4
a1eea7,N2231F,C182
ae01b0,84-0087,LJ35
3cedc6,D-CRIS,ASTR
4b17b9,HB-IZP,SB20
3c48c6,D-ABFF,A320
4ca7f6,EI-EZL,A332
39bd23,F-HPJD,A388
a36ed2,N320FE,DC10
484c13,PH-RNG,B190
4241b6,VP-CNA,GLEX
48a4e9,SP-KHK,C510
4bcd73,TC-SKS,B738
3d154c,D-EGHW,B209
a3c2d5,N341UP,B763
ace362,N93AT,GLF4
ac1bc7,N88D,GLF5
ad0e97,N940QS,C750
3d1b58,D-EIPK,M20P
3c496e,D-ABKN,B738
495197,CS-TLW,LJ45
e47e8f,PT-MVK,A332
a2c481,N278DB,M20P
4063000,G-OARS,C172
3c6749,D-AIZI,A320
899043,B-16401,B744
00a6e5,ZS-OSI,DC86
a7850f,N584D,CL30
393c89,F-GPEJ,B752
44005a,OE-LKD,D328
acfc37,N936CT,SR22
100,SU-GCS,B738
3f8517,1023,A310
501002,ZA-MEV,B463
3964,F-GZHA,B738
44ce64,OO-SSD,A319
43e822,M-YSAI,GL5T
4017cb,G-YHPV,C310
ae040d,162782,E6
4063ab,G-CGNC,GYRO
3d0ac0,D-ECIA,DR40
ae2faa,Aug-98,C17
a9816a,N711SX,GLEX
4400d0,OE-GBD,ASTR
508215,UR-DNV,E145
8962cc,A6-ESF,B734
4025c5,G-BDPJ,PA25
3984c6,F-HBGG,TBM7
451f85,LZ-HBE,B463
c0272c,C-FOVR,DH8A
add0ce,N99FG,F900
ae038b,62-3543,K35R
40631e,G-EZFZ,A319
4b39b0,HB-VWA,C25A
49d193,OK-TVO,B738
4ca130,EI-CUM,A320
4a935a,SE-DZZ,LJ35
44040,OE-LEF,A320
ab7ece,N84PJ,C750
ae2fad,Aug-01,C17
94003,TY-VLT,H25B
a8b2e1,N66LG,BE58
ae023a,62-3520,K35R
0d05c1,XA-VOQ,A319
ae2fac,Aug-00,C17
a0c869,N15FX,FA7X
400cc5,G-BMJO,PA34
01008e,SU-BPE,GLF4
406295,G-EMSA,CRUZ
40634c,G-CGMC,E135
4008fc,G-ZIZI,C525
abbb64,N855RB,GLF5
461e1b,OH-LKL,E190
4241b5,VP-CRO,GLF5
10143,SU-GDS,A333
ae0239,63-7977,K35R
400cc9,G-REST,BE35
40100f,G-BWNM,P28R
a0cacb,N150GF,H25B
acc5cf,N922CE,SR22
484b4a,PH-JAJ,GLSP
47871b,LN-NOW,B738
a520ff,N43CH,PA46
ae0671,63-8000,K35R
4062ec,G-SCVF,CRUZ
3940,F-GTQB,TRIN
a24a3b,N247CJ,F900
acad2b,N916CD,SR22
a4ef29,N417LP,P28A
7335cf,EP-MNO,A310
401f98,G-BJDW,C172
424270,VP-BSK,GLEX
a2b1a1,N273A,GLF5
a7d678,N604DT,CL60
393c8a,F-GPEK,B752
4010000,G-EDTO,C172
4b0ef4,HB-FRG,PC12
405f6b,G-CFPZ,S76
4050a4,G-XALT,PA38
40514c,G-TYMS,C172
4ca6ee,EI-UNZ,B772
aa8f6b,N78NT,F2TH
405f34,G-IPLG,AS50
40219b,G-DODD,C172
45ac43,OY-KBC,A343
84096b,JA02KZ,B744
a0100f,N103CD,GLF3
a97026,N707SG,GALX
43e721,M-GULF,GLF4
4022c7,G-RATE,AA5
508100000,UR-DAV,J328
4d204c,9H-BGL,GLEX
40631f,G-EZGA,A319
a9966f,N717DX,GLF4
3421da,EC-HTS,E120
3421d5,EC-IMF,C550
3c5467,D-AECG,E190
a2ae06,N272BC,CL30
a92eaa,N691CL,
a27f11,N260AV,A320
a1e103,N220AB,F2TH
4027fe,G-BYNA,C172
880db6,HS-CMV,B734
40125a,G-KLNK,EC35
4a91ab,SE-DMK,MD87
402089,G-BKVL,DR40
8691ee,JA786A,B77W
4b10d0,HB-GJO,BE58
ac6316,N898AK,CL60
a999df,N718BA,B744
38467a,F-WWZQ,FA7X
406393,G-PALI,CRUZ
40638f,G-TECI,SIRA
ac6ff6,N900JB,FA50
4403ae,OE-GHG,C25B
a320ee,N300SM,CL30
43e857,M-LRJT,LJ45
869254,JA789A,B77W
401768,G-AWAZ,P28R
a00ca3,N102FD,GALX
ae07d5,92-3291,C17
402d03,G-CSGT,P28A
402316,G-NBEL,AS55
48d802,44,YK40
43c267,ZJ210,H64
4d03ca,LX-N90452,E3TF
3e48d1,D-ISTT,BE9L
406141,G-CGBM,FDCT
a21749,N2339S,R22
404bd5,G-CCXB,ST75
ae11d3,71-1408,E3TF
300259,I-ATRR,AT72
ae0810,99-0170,C17
e4831b,PT-SKM,E135
4241b7,VP-CTA,GLF5
403deb,G-HMBJ,AC11
a9a23a,N72LN,GLF4
404fc4,G-CDXT,RV9
4b0eb8,HB-FOY,PC12
3d2af6,D-EONE,BE33
aaaa8b,N787AD,FA7X
4240ef,VP-BYO,B735
